M1, Time, Edward Felsenthal, News, 1923
M2, Vogue, Anna Wintour, Fashion, 1892
M3, GQ, Condé Nast, Mens interests, 1957
M4, WIRED, Nicholas Thompson, Technology, 1993
M5, PC Gamer, Phil Savage, PC gaming, 1993
M6, Good Housekeeping, Gaby Huddart , Womens interests, 1885
M7, O, The Oprah Magazine, Lucy Kaylin, Womens interests, 2000
